feature,importance
V160,0.062072395717029716
V6,0.061004903220574835
V249,0.05899723952425803
V55,0.05860053684410547
V40,0.05824584143027088
V196,0.05777207435473395
V246,0.057475250766161154
V136,0.05733232145922338
V229,0.0573310524200718
V170,0.057299245151060274
V98,0.0570824172025408
V260,0.056394842758817475
V237,0.05545676600517994
V139,0.05483337565244387
V3,0.054467388582594575
V284,0.054461122939718484
V186,0.053750997234001716
V39,0.05267658099634277
V109,0.05190026957436194
V194,0.05081200083176825
V47,0.05025061424299766
V228,0.05020767820509336
V25,0.04887453541087567
V327,0.04762313916003144
V138,0.04742515126238428
V161,0.04715340700021498
V122,0.046718564506081924
id_03,0.045591198362215146
V116,0.04517690233149553
V256,0.04486082759629872
V140,0.04469682863296758
D11,0.04450601026538407
V181,0.04356463212147899
V124,0.043434626359505346
V288,0.04329908972169077
V67,0.04295712456321289
V159,0.042572485115533014
C13,0.04220353724541934
V302,0.04215572968565392
V114,0.04214744471977923
V263,0.04105733208896469
V1,0.040462160181394494
V13,0.04025219674766686
V198,0.04003822199442553
id_09,0.03984452574077315
V251,0.03923171012330698
D7,0.03897791046684425
V261,0.03867409243371001
V115,0.0385801140691458
V312,0.03725128072280362
D12,0.03720486319566089
V5,0.03695410776002361
V173,0.03690767606711626
V119,0.03675013556860427
V234,0.03534744718343844
V304,0.035227707679802635
V220,0.034574395209598895
V197,0.03419421014789053
V287,0.033356172249725
V125,0.03302585986138509
V11,0.03256201752168755
V185,0.03197086007538521
V281,0.03153579203295978
V334,0.02972343738034768
V242,0.028364723583466728
D4,0.02785563963164667
D15,0.02758403546995668
id_10,0.02754342583787431
V121,0.027032830424017433
V303,0.026922655053798043
dist1,0.026453096646101994
V2,0.026436569842340486
V224,0.02605342097773854
V223,0.024919122716903976
V305,0.024375228672140432
V171,0.02424377729054978
V112,0.023734149026015176
V107,0.023239543952997595
V290,0.02265212143286214
V97,0.022588647552043352
V275,0.02227172266670743
V241,0.021896534245771763
V258,0.021732188591218275
V104,0.021406049087340485
id_08,0.020901684115668707
V117,0.0207286054706033
V205,0.020338203702682616
V250,0.019508163277713972
V36,0.01882753167755222
V314,0.018193178040046776
V69,0.017647840491231494
V41,0.016541005247383726
V135,0.015623251965162264
V46,0.014205184312778391
D10,0.013908251542940972
V26,0.013253441194817375
V7,0.01317383945801814
V79,0.012689942320510988
V201,0.012519268089556869
V9,0.012145899140043846
V329,0.011785425111620793
V244,0.01149590060219856
D13,0.011421882177173116
V184,0.011250631150483824
D6,0.01092524095256179
id_05,0.010775466975154836
id_37,0.010269516895411805
V230,0.009463038157947702
V151,0.009368834113836816
V325,0.008976440854459374
V4,0.008634336838464422
D14,0.008449160215713104
V100,0.008406433441729998
V255,0.007585506059883445
V99,0.007120082644089351
V176,0.007063758336291401
V102,0.0050259340278662685
D9,0.005024109812609
V123,0.004419991461978259
V289,0.0038322999516338403
V8,0.0035015675773975713
id_07,0.0033754067365650265
dist2,0.0030053124647063645
V169,0.002192016824897182
id_06,0.0007211052798133376
V240,0.0001317575457075826
