feature,signed_auc,prediction_power
V31,0.3237114387892581,0.3237114387892581
V304,0.3236775657702313,0.3236775657702313
V18,0.3234218277048293,0.3234218277048293
V17,0.32304439721417744,0.32304439721417744
id_12,0.3226315494443104,0.3226315494443104
V139,0.31998818574724086,0.31998818574724086
V302,0.31905238183464624,0.31905238183464624
V22,0.31787922432350246,0.31787922432350246
V21,0.31779455485173713,0.31779455485173713
has_identity,0.3174944016537897,0.3174944016537897
V156,0.3166358399411142,0.3166358399411142
V48,-0.31642644564977385,0.31642644564977385
V49,-0.3158905714644866,0.3158905714644866
V91,-0.3157779948542928,0.3157779948542928
V90,-0.3152108536507561,0.3152108536507561
V58,0.31475843766408174,0.31475843766408174
V149,0.3119252913711654,0.3119252913711654
V57,0.31115578431945434,0.31115578431945434
V189,0.3104812899650844,0.3104812899650844
V177,0.3091167139408988,0.3091167139408988
V157,0.3060315959289879,0.3060315959289879
id_16,0.30597768573657436,0.30597768573657436
V72,0.3053627349949801,0.3053627349949801
V211,0.3053518213894366,0.3053518213894366
V29,-0.3052231668566593,0.3052231668566593
V30,-0.30494594750154747,0.30494594750154747
V70,-0.30421881203238144,0.30421881203238144
V69,-0.3024110649723122,0.3024110649723122
V60,0.3018234226224883,0.3018234226224883
V71,0.30151045392340414,0.30151045392340414
card5,0.29883421392041654,0.29883421392041654
V64,0.2973357387236468,0.2973357387236468
C7,0.2971073428011848,0.2971073428011848
V59,0.29706938261449634,0.29706938261449634
DeviceInfo,0.29571638697851865,0.29571638697851865
V176,0.2953067030239096,0.2953067030239096
D7,-0.2943236544721375,0.2943236544721375
V63,0.29294362552442843,0.29294362552442843
V283,0.292799585730839,0.292799585730839
addr2,0.2915234311643602,0.2915234311643602
V147,0.29067193618503606,0.29067193618503606
card3,0.2884150924995992,0.2884150924995992
C5,-0.2863819222629751,0.2863819222629751
V188,0.2847154779859129,0.2847154779859129
V186,0.28365926297913635,0.28365926297913635
V155,0.2828400029673608,0.2828400029673608
C9,-0.28234513093527747,0.28234513093527747
V45,0.28037038979071416,0.28037038979071416
V148,0.2767529542344258,0.2767529542344258
V10,-0.2760923126483802,0.2760923126483802
V11,-0.27571860843845586,0.27571860843845586
V282,0.2729040793168478,0.2729040793168478
D10,-0.27054669996497827,0.27054669996497827
V146,0.26616805176652436,0.26616805176652436
id_35,-0.2639578759781901,0.2639578759781901
C2,0.25969668149942393,0.25969668149942393
V154,0.2592701311664969,0.2592701311664969
V38,0.25857174383999304,0.25857174383999304
D15,-0.2557181745841687,0.2557181745841687
V44,0.24804225545317649,0.24804225545317649
V153,0.24171970592101855,0.24171970592101855
card6,0.2400779635393666,0.2400779635393666
id_01,-0.2377645639447189,0.2377645639447189
V87,0.23766201413674515,0.23766201413674515
C13,-0.23172215498984727,0.23172215498984727
C1,0.22559797198144826,0.22559797198144826
V35,-0.21715508117596405,0.21715508117596405
V222,0.21655981576663086,0.21655981576663086
V36,-0.21061277500274045,0.21061277500274045
V86,0.21042987241709765,0.21042987241709765
V37,0.21000479343012057,0.21000479343012057
V294,0.20899689334778704,0.20899689334778704
V317,0.2082296751272883,0.2082296751272883
C11,0.20701732386869143,0.20701732386869143
P_emaildomain,0.20514118623413657,0.20514118623413657
V78,0.1996596060399971,0.1996596060399971
V150,0.19835859600913053,0.19835859600913053
V259,0.19315614698612782,0.19315614698612782
D1,-0.19081672322403775,0.19081672322403775
V295,0.1834330219282172,0.1834330219282172
V318,0.1833386451740815,0.1833386451740815
V280,0.1832095486294354,0.1832095486294354
V308,0.18238955310806415,0.18238955310806415
V221,0.18139589061744577,0.18139589061744577
V261,0.18122038201647062,0.18122038201647062
C14,-0.18025305589919782,0.18025305589919782
D4,-0.17986038015593164,0.17986038015593164
id_07,-0.17955689671888198,0.17955689671888198
V102,0.1772232123726929,0.1772232123726929
V236,0.17575418565541545,0.17575418565541545
V133,0.17566420356827117,0.17566420356827117
V277,0.17294489279026704,0.17294489279026704
V248,0.1704445243122097,0.1704445243122097
V103,0.16812787207174096,0.16812787207174096
V77,0.16690499133626413,0.16690499133626413
V134,0.16678661946326923,0.16678661946326923
V95,0.1662609188640749,0.1662609188640749
V126,0.16252687021512258,0.16252687021512258
V75,-0.1616634086669968,0.1616634086669968
V12,-0.1614055160501684,0.1614055160501684
V306,0.16109757264672298,0.16109757264672298
V97,0.16076271820802002,0.16076271820802002
V279,0.16075563977269836,0.16075563977269836
V76,-0.1595238885925062,0.1595238885925062
V262,0.15791043269926064,0.15791043269926064
V128,0.15666109616679225,0.15666109616679225
V13,-0.15503927879274382,0.15503927879274382
V237,0.15299588311417311,0.15299588311417311
V249,0.15223014402364066,0.15223014402364066
V278,0.1512569551765952,0.1512569551765952
V53,-0.15064938419438934,0.15064938419438934
V234,0.14731013446134678,0.14731013446134678
V333,0.14721245590562426,0.14721245590562426
