feature,feature_type,missing_fraction,n_unique,most_frequent_fraction,is_constant,is_near_constant,is_likely_identifier,signed_auc,prediction_power,train_signed_auc,heldout_signed_auc,abs_auc_delta,stable,importance,permutation_importance,prediction_power_rank_score,importance_rank_score,permutation_importance_rank_score,composite_score
V50,numeric,0.28594393831634324,6,0.5972093338300538,False,False,False,0.37271563220310977,0.37271563220310977,0.37271563220310977,0.35491046426020456,0.01780516794290521,True,0.2447936290360899,0.0,0.538812723636049,0.0374596567762624,0.0,0.2529058303164781
D8,numeric,0.8732843386279224,10977,0.8732843386279224,False,False,False,-0.37564451241433994,0.37564451241433994,-0.37564451241433994,-0.35738526067375864,0.018259251740581295,True,0.2003337641133754,0.0,0.5430468307876286,0.030656165660575174,0.0,0.252361844074547
V273,numeric,0.7793838407784965,5830,0.7793838407784965,False,False,False,0.37605503655772576,0.37605503655772576,0.37605503655772576,0.384322562182035,0.008267525624309213,True,0.09947868973511212,0.0,0.5436403010172205,0.01522277188627409,0.0,0.24872597677429878
V202,numeric,0.7638590668427767,8887,0.7638590668427767,False,False,False,0.33344307142470586,0.33344307142470586,0.33344307142470586,0.33904662955744547,0.005603558132739606,True,0.5863758079779845,0.0,0.4820387286412732,0.08973042556397777,0.0,0.24748254311605422
V213,numeric,0.7638590668427767,6722,0.7638590668427767,False,False,False,0.33076092787501943,0.33076092787501943,0.33076092787501943,0.33901998710186354,0.008259059226844112,True,0.6253344256189809,0.0,0.47816131394136635,0.09569208580430294,0.0,0.24742596242109427
V40,numeric,0.28594393831634324,18,0.6062406159334395,False,False,False,0.3779603205231403,0.3779603205231403,0.3779603205231403,0.36335788610739583,0.014602434415744492,True,0.05824584143027088,0.0,0.5463946562253371,0.008913096460941308,0.0,0.2468068139003695
V94,numeric,0.15075016086971246,3,0.7332746299996613,False,False,False,0.366958749972516,0.366958749972516,0.366958749972516,0.35664601750556835,0.010312732466947638,True,0.17944499311603976,0.0,0.5304903429084603,0.027459651947700826,0.0,0.2467846226204603
V17,numeric,0.12854223817748728,13,0.75869317347964,False,False,False,0.32304439721417744,0.32304439721417744,0.32304439721417744,0.3118522396500689,0.011192157564108518,True,0.711403222739316,0.0,0.4670059865465562,0.10886280275461288,0.0,0.24657585127544854
V58,numeric,0.13023560357187208,11,0.7618225127284632,False,False,False,0.31475843766408174,0.31475843766408174,0.31475843766408174,0.2984264094343003,0.016332028229781415,True,0.7736408518380463,0.0,0.45502746982394054,0.11838674434486988,0.0,0.2437479177070105
V39,numeric,0.28594393831634324,16,0.6065160700375927,False,False,False,0.3731282542024963,0.3731282542024963,0.3731282542024963,0.35797908795334044,0.015149166249155854,True,0.05267658099634277,0.0,0.5394092266107363,0.008060857841929666,0.0,0.24328307728213336
V42,numeric,0.28594393831634324,8,0.6072453460674411,False,False,False,0.36196678039849073,0.36196678039849073,0.36196678039849073,0.34640490215524133,0.015561878243249394,True,0.14205912631343987,0.0,0.5232737507129844,0.021738662622026894,0.0,0.240747438002065
V43,numeric,0.28594393831634324,9,0.6069473137580293,False,False,False,0.3668350161860079,0.3668350161860079,0.3668350161860079,0.3515758360967416,0.0152591800892663,True,0.07650965323924622,0.0,0.5303114683650983,0.011707924596315693,0.0,0.2404490573596148
M4,categorical,0.47712489134238717,3,0.47712489134238717,False,False,False,0.3407119993078458,0.3407119993078458,0.3407119993078458,0.33964637067965153,0.0010656286281942595,True,0.3519889301491645,0.0,0.49254698343991904,0.05386326663953981,0.0,0.2403384415775734
V57,numeric,0.13023560357187208,7,0.7621927952947021,False,False,False,0.31115578431945434,0.31115578431945434,0.31115578431945434,0.29478683491450797,0.016368949404946376,True,0.738600459470137,0.0,0.4498193291042688,0.11302467231474392,0.0,0.2395219909963394
id_28,categorical,0.7616035041374561,2,0.7616035041374561,False,False,False,0.34025188082394897,0.34025188082394897,0.34025188082394897,0.3246808122383964,0.015571068585552572,True,0.34649735235752005,0.0,0.4918818176349908,0.05302291544230821,0.0,0.23756917805272082
V71,numeric,0.13023560357187208,7,0.7519942199794538,False,False,False,0.30151045392340414,0.30151045392340414,0.30151045392340414,0.28574050744383017,0.01576994647957397,True,0.8151746863753528,0.0,0.4358756511577713,0.12474247832575791,0.0,0.23743841846307628
